date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-08-10 20:32:47,PodRevDay,LizWilcox79,0,0,4,"ohhh, thats a dangerous bit of info. I am terrified to see numbers attached to all my listening.",,,,1292921860225736709,https://twitter.com/PodRevDay/status/1292921860225736709
2018-08-13 16:55:23,FarandWidecom,,1,10,47,"The most visited tourist attractions in the world might surprise you.",,,,1029048784741781505,https://twitter.com/FarandWidecom/status/1029048784741781505
2020-08-10 20:07:39,LizWilcox79,PodRevDay,1,0,4,"You can mark episodes as ""listened"" on Podchaser! It even tells you how much of your life has been spent listening to podcasts on your profile based on your listens!",,,,1292915534413979648,https://twitter.com/LizWilcox79/status/1292915534413979648
2020-08-10 19:59:17,PodRevDay,podcast_junkies,0,0,0,"omg, you did it. ((((dancing))))",,,,1292913431037857794,https://twitter.com/PodRevDay/status/1292913431037857794
2020-08-10 19:58:39,PodRevDay,VincentMacElroy,1,0,0,"What's this podcast tracking website? Would love to check it out. thanks",,,,1292913272421855233,https://twitter.com/PodRevDay/status/1292913272421855233
2020-08-10 15:06:56,UnscriptedwDIT,,0,0,0,"Please head out to @Podchaser to leave behind more ratings and reviews!!! #podrevday #trendingnow #followforfollowback #review #feedback #Improv #Comedyshow #Dubai #Improvisation #Podcasting #rate #Dubaiimprovtribe #UnscriptedwithDIT #Unscriptedcomedy #UnknownUnplannedUnscripted",,@Podchaser,#podrevday #trendingnow #followforfollowback #review #feedback #Improv #Comedyshow #Dubai #Improvisation #Podcasting #rate #Dubaiimprovtribe #UnscriptedwithDIT #Unscriptedcomedy #UnknownUnplannedUnscripted,1292839856608092163,https://twitter.com/UnscriptedwDIT/status/1292839856608092163
2020-08-10 15:05:43,UnscriptedwDIT,,1,0,0,"Thank You Amazing Listeners for all the support and encouragement! Without You, we will not be here #podrevday #trendingnow #followforfollowback #review #feedback #Improv #Comedyshow #Dubai #Improvisation #Podcasting #rate #Dubaiimprovtribe #UnscriptedwithDIT #Unscriptedcomedy",,,#podrevday #trendingnow #followforfollowback #review #feedback #Improv #Comedyshow #Dubai #Improvisation #Podcasting #rate #Dubaiimprovtribe #UnscriptedwithDIT #Unscriptedcomedy,1292839549811515394,https://twitter.com/UnscriptedwDIT/status/1292839549811515394
2020-08-10 15:03:36,UnscriptedwDIT,,1,0,0,"This #Podrevday we at DIT are grateful to all these lovely listeners who left their generous ratings and humbling reviews. You guys make us want to do more! Thank You #trendingnow #followforfollowback #review #feedback #Improv #Comedyshow #Dubai #Improvisation #Podcasting #rate",,,#Podrevday #trendingnow #followforfollowback #review #feedback #Improv #Comedyshow #Dubai #Improvisation #Podcasting #rate,1292839019718619137,https://twitter.com/UnscriptedwDIT/status/1292839019718619137
2020-08-10 14:19:22,VincentMacElroy,,2,2,10,"I just found out about #PodRevDay (thanks @LizWilcox79!) and about @Podchaser as a useful site for podcast tracking -- so I've updated it with my review of @PrismPals! That beautiful show I did some fanart for not too long ago~ Check out the review here:",,@LizWilcox79 @Podchaser @PrismPals,#PodRevDay,1292827888685740038,https://twitter.com/VincentMacElroy/status/1292827888685740038
2020-08-10 05:46:30,stephfuccio,,0,2,5,"Some inquiries lately about my review fees. This is NOT one of my podcast services.I write reviews for podcasts that I love to give back to a community I adore.That's also why @podrevday exists.Glad yall like my reviews &amp; hope you check out the pods they are about. #PodRevDay ",,@PodRevDay,#PodRevDay,1292698817964449793,https://twitter.com/stephfuccio/status/1292698817964449793
2020-08-10 05:12:02,PodRevDay,podcast_junkies,0,0,0,"",,,,1292690144361951232,https://twitter.com/PodRevDay/status/1292690144361951232
2020-08-10 02:23:53,OffTheBeatenPod,,1,0,2,"We're always late. Always! But for #PodRevDay, we dropped a review for @ThatsNotProper, which we listened to this morning. Definitely recommend the most recent episode. Cori shares her families firsthand experience with Covid-19. #PodernFamily #podcastlife #chicago",,@ThatsNotProper,#PodRevDay #PodernFamily #podcastlife #chicago,1292647828565655552,https://twitter.com/OffTheBeatenPod/status/1292647828565655552
2020-08-09 23:52:39,podcast_junkies,stephfuccio,2,0,1,"Will do!",,,,1292609768872321024,https://twitter.com/podcast_junkies/status/1292609768872321024
2020-08-09 20:22:06,PodRevDay,PersuadePod,0,0,0,"Your welcome. Thanks for joining us yesterday!",,,,1292556785585475586,https://twitter.com/PodRevDay/status/1292556785585475586
2020-08-09 20:19:31,PersuadePod,PodRevDay,1,0,1,"Thank you for getting a place setup where reviews can be posted and shared!",,,,1292556132905607168,https://twitter.com/PersuadePod/status/1292556132905607168
2020-08-09 19:39:26,stephfuccio,podcast_junkies,1,0,1,"Ohhhh, hurrah. Harry @podcast_junkies , dare I suggest replying on @podchaser too? Nudge, nudge? Its a newer feature over there and pretty darn cool.",,@podcast_junkies @Podchaser,,1292546044975357953,https://twitter.com/stephfuccio/status/1292546044975357953
2020-08-09 19:35:04,podcast_junkies,stephfuccio,1,1,2,"Can't tell you just how much this made my day @stephfuccio, you're awesome!",,@stephfuccio,,1292544946537246720,https://twitter.com/podcast_junkies/status/1292544946537246720
2020-08-09 18:42:06,TinyVampiresPod,lifeslice3,0,2,4,"Raven hosts the show in English and @rmontane1 host the show in Spanish. Same content though.",,@rmontane1,,1292531617005580288,https://twitter.com/TinyVampiresPod/status/1292531617005580288
2020-08-09 17:32:54,lifeslice3,TinyVampiresPod,1,0,1,"Very cool! English for me, all the Spanish I remember is ""chale!"" and ""estoy pato"" (chile) do you produce the exact show twice or once and translate? Will check out @shrinkrapradio",,@shrinkrapradio,,1292514205128634370,https://twitter.com/lifeslice3/status/1292514205128634370
2020-08-09 17:28:13,TinyVampiresPod,lifeslice3,1,0,1,"Thanks for the shout out @PodRevDay. @lifeslice3 our show is about disease, science, and blood-sucking insects. (In English and Spanish). I would recommend @shrinkrapradio for all things mental health.",,@PodRevDay @lifeslice3 @shrinkrapradio,,1292513023148478466,https://twitter.com/TinyVampiresPod/status/1292513023148478466
2020-08-09 16:33:32,PodRevDay,TweetsAheadCast,0,0,0,"If you are going to hijack our #podrevday hashtag, at least recommend a few good Irish podcasts! Geesh! http://Www.podrevday.com",,,#podrevday,1292499262245396481,https://twitter.com/PodRevDay/status/1292499262245396481
2020-08-09 16:31:01,PodRevDay,Castbox_fm,0,0,1,"Me too but we need time to listen between review writing sessions, so once a month will have to suffice:)",,,,1292498628079226882,https://twitter.com/PodRevDay/status/1292498628079226882
2018-11-27 19:38:45,FarandWidecom,,26,43,199,"How many of these have you ever been to?",,,,1067503008752185345,https://twitter.com/FarandWidecom/status/1067503008752185345
2020-08-09 16:30:06,PodRevDay,,0,1,1,"@stephfuccio",,@stephfuccio,,1292498397665132546,https://twitter.com/PodRevDay/status/1292498397665132546
2020-08-09 15:33:22,PodRevDay,,1,0,3,"Thank you to everyone who particpated in #podrevday yesterday. There are more and more people joining us with the listener appreciation joy we are creating! And, we got some beginning traction on Insta too! Hurrah. (((Giant, safe podhug))) ",,,#podrevday,1292484122561183749,https://twitter.com/PodRevDay/status/1292484122561183749
2020-08-09 15:31:04,PodRevDay,,0,1,1,"Revised profile. Is it more clear that the podcast listener is doing all the work on #podrevday. In other words, Podcasters should NOT ask for reviews? Thanks for your feedback.",,,#podrevday,1292483541956202497,https://twitter.com/PodRevDay/status/1292483541956202497
2020-08-09 15:25:02,Castbox_fm,,1,0,2,"We wish #PodRevDay could be every day...",,,#PodRevDay,1292482026650517505,https://twitter.com/Castbox_fm/status/1292482026650517505
2020-08-09 14:30:43,PodRevDay,TeenPeoplePod,0,0,1,"We welcome feedback on how to make it clearer.",,,,1292468355325136897,https://twitter.com/PodRevDay/status/1292468355325136897
2020-08-09 14:29:21,PodRevDay,JackieJacQuel,0,0,1,"Hurrah!",,,,1292468012390522881,https://twitter.com/PodRevDay/status/1292468012390522881
2020-08-09 13:58:16,JackieJacQuel,PodRevDay,1,0,1,"Oops, my bad. Time to review some podcasts then!",,,,1292460187337527297,https://twitter.com/JackieJacQuel/status/1292460187337527297
2020-08-09 13:29:13,MicsAndMonsters,,1,1,10,"I'm a bit late for #PodRevDay this is my first time though so you will forgive me right? I wanted to share my review for a new show that I started listening to recently @Wesuckpod",,@Wesuckpod,#PodRevDay,1292452878976720897,https://twitter.com/MicsAndMonsters/status/1292452878976720897
2020-08-09 12:36:59,TeenPeoplePod,PodRevDay,1,0,0,"Hi, first-time podcaster, first-time listener. It looks like multiple podcasters used the hashtag for this purpose yesterday. This distinction should be clearer, as it's not in your bio, or on your website. Thanks!",,,,1292439733063360512,https://twitter.com/TeenPeoplePod/status/1292439733063360512
2020-08-09 12:31:49,Planthropology_,,0,1,2,"One more (late) for #podrevday! I fell asleep and forgot to share this. It's an older one I wrote, but I think everyone should be listening to TWiV by @profvrr. I've learned a ton! Check out my review of This Week in Virology on @Podchaser",,@profvrr @Podchaser,#podrevday,1292438434947244032,https://twitter.com/Planthropology_/status/1292438434947244032
2020-08-09 12:29:09,DiceShame,PodRevDay,0,0,2,"iTunes is weird and doesnâ€™t show it yet but I sxreenshotted the posting! @DimensionPod #podcast",,@DimensionPod,#podcast,1292437764089282560,https://twitter.com/DiceShame/status/1292437764089282560
2020-08-09 12:28:15,PodRevDay,beholdertonoone,0,0,1,"Got it, thanks:)",,,,1292437537307463680,https://twitter.com/PodRevDay/status/1292437537307463680
2020-08-09 12:25:08,PodRevDay,OracleofDusk,0,0,2,"",,,,1292436752418910211,https://twitter.com/PodRevDay/status/1292436752418910211
2020-08-09 12:24:16,PodRevDay,PublicNoticeLLC,0,0,1,"Be sure to leave a screenshot or link to the review to give them the attention they deserve:)",,,,1292436534717808641,https://twitter.com/PodRevDay/status/1292436534717808641
2020-08-09 12:23:30,PodRevDay,LizWilcox79,0,0,1,"True, true. I just didnt want anyone to think this was a theme for the month. I am in awe with people that can write multiple reviews in 1 day.",,,,1292436338868924419,https://twitter.com/PodRevDay/status/1292436338868924419
2020-08-09 12:21:05,PodRevDay,DiceShame,1,0,2,":) Be sure to leave a screenshot of the review to give them all the attention they deserve!",,,,1292435730619412480,https://twitter.com/PodRevDay/status/1292435730619412480
2020-08-09 12:19:27,PodRevDay,FitVeritas,0,0,1,"Agreed!",,,,1292435322312298499,https://twitter.com/PodRevDay/status/1292435322312298499
2020-08-09 12:19:15,PodRevDay,TeenPeoplePod,1,0,0,"hiya, FYI, #podrevday is a day to give podcast reviews, NOT ask for one. http://www.podrevday.com. We would greatly appreciate it if you would use #podrevday for this purpose only. super thanks.",,,#podrevday #podrevday,1292435271292723202,https://twitter.com/PodRevDay/status/1292435271292723202
2020-08-09 12:17:51,beholdertonoone,PodRevDay,1,0,3,"Yeah, I did when I posted them, didn't want to just bombard with the same reviews again :)",,,,1292434918191104000,https://twitter.com/beholdertonoone/status/1292434918191104000
2020-08-09 12:17:47,PodRevDay,lifeslice3,0,0,1,"bugs: @TinyVampiresPod",,@TinyVampiresPod,,1292434903339065344,https://twitter.com/PodRevDay/status/1292434903339065344
2018-08-13 16:55:34,FarandWidecom,,1,1,8,"Here's how to avoid throngs of tourists at the world's most visited attractions.",,,,1029048830006767616,https://twitter.com/FarandWidecom/status/1029048830006767616
2020-08-09 12:17:00,PodRevDay,TheWildLifepod,0,0,0,"https://twitter.com/PodRevDay/status/1292119959909339136 thanks for understanding",,,,1292434703547596806,https://twitter.com/PodRevDay/status/1292434703547596806
2020-08-09 12:16:31,PodRevDay,AnnCSloan,0,0,0,"lol, love it!",,,,1292434582193700865,https://twitter.com/PodRevDay/status/1292434582193700865
2020-08-09 12:15:45,PodRevDay,beholdertonoone,1,0,3,"Woot woot! To give these hardworking Podcasters their proper attention during #PodRevDay, leave a link or screenshot of the review. You can scan the #podrevday tag to see many examples of how folks are doing this. Thanks",,,#PodRevDay #podrevday,1292434390073643010,https://twitter.com/PodRevDay/status/1292434390073643010
2020-08-09 12:12:39,PodRevDay,PersuadePod,1,0,3,"Never too late, thanks for all you did with these reviews @PersuadePod !",,@PersuadePod,,1292433611895996418,https://twitter.com/PodRevDay/status/1292433611895996418
2020-08-09 12:11:19,PodRevDay,JackieJacQuel,1,0,1,"Nope, not true at all @JackieJacQuel #PodRevDay is day to GIVE reviews, not ask for them. Looking forward to your future reviews.",,@JackieJacQuel,#PodRevDay,1292433273885528066,https://twitter.com/PodRevDay/status/1292433273885528066
2020-08-09 12:09:41,PodRevDay,TweetsAheadCast,0,0,0,"hiya, FYI for the next #podrevday, it is a day of giving podcast reviews, not asking for them. http://www.podrevday.com thanks",,,#podrevday,1292432864622125056,https://twitter.com/PodRevDay/status/1292432864622125056
2020-08-09 10:32:30,RussophilesU,FitVeritas,0,1,2,"#PodRevDay is such a great initiative, isn't it?!",,,#PodRevDay,1292408404594561024,https://twitter.com/RussophilesU/status/1292408404594561024
2020-08-09 04:00:45,PersuadePod,,0,1,5,"You all know i'm quite the nerd (seriously if you didn't, i'm not sure what to show you) & if we're going to talk about one of my favorite nerdy podcasts, @superbiopodcast is it (@SCampbellstaton @ArienTBOSP #PodRevDay #marvel #disney #DC @Podchaser)",,@superbiopodcast @SCampbellstaton @ArienTBOSP @Podchaser,#PodRevDay #marvel #disney #DC,1292309818666082305,https://twitter.com/PersuadePod/status/1292309818666082305
2020-08-09 03:59:41,JackieJacQuel,,1,0,0,"I was so busy writing today that I missed #PodRevDay :-( But it is never too late to beg for reviews! I feel like every day is PodRevDay, so please if you see this, listen to http://bldgevelyn.com/listen and review us on @Podchaser or @ApplePodcasts! #prettyplease :-D",,@Podchaser @ApplePodcasts,#PodRevDay #prettyplease,1292309548678680579,https://twitter.com/JackieJacQuel/status/1292309548678680579
2020-08-09 03:47:38,PersuadePod,,0,3,5,"I don't need to say more than I already have about this podcast. But if you want to take a stroll down memory lane, or just listen to a wonderful man read you fantastic stories, here you go @levarburton reads (@podchaser #PodRevDay #podcasts #Wonderful)",,@levarburton @Podchaser,#PodRevDay #podcasts #Wonderful,1292306520290594816,https://twitter.com/PersuadePod/status/1292306520290594816
2020-08-09 03:24:50,PersuadePod,,0,1,2,"If youâ€™ll notice a theme with every review written thus far, Black Lives Matter. Every one of these reviews is to highlight with my very small platform the dope creators of color that I know/know of #podrevday #BLM #trending #highlight #spotlight #SpeakUp #SpeakingOut",,,#podrevday #BLM #trending #highlight #spotlight #SpeakUp #SpeakingOut,1292300780968583168,https://twitter.com/PersuadePod/status/1292300780968583168
2020-08-09 03:19:09,Planthropology_,,0,2,4,"#PodRevDay number 5, this time featuring my buddy Stephen from @PersuadePod. Maybe one more tonight then I'll stop spamming your feeds! Check out my review of Persuade You on @Podchaser",,@PersuadePod @Podchaser,#PodRevDay,1292299350727634949,https://twitter.com/Planthropology_/status/1292299350727634949
2020-08-09 03:18:08,PersuadePod,,0,2,5,"Let's keep the #PodRevDay train going with a very specific episode of @KindaFunnyVids Games Daily. This one has @ZombaeKillz on and if you want a quick intro to her content, look no further than this (@Podchaser @BlessingJr #podcasts #KFGD #kindafunny)",,@KindaFunnyVids @ZombaeKillz @Podchaser @BlessingJr,#PodRevDay #podcasts #KFGD #kindafunny,1292299096347353090,https://twitter.com/PersuadePod/status/1292299096347353090
2020-08-09 03:09:39,PersuadePod,,2,1,3,"Speaking of @vicious696 in the last review, it's only natural that the next review written up was about yet another show he guested on which was @SpawnOnMe (@podchaser @Kahjahkins #PodRevDay #podcasts #creators #recomendations)",,@vicious696 @SpawnOnMe @Podchaser @Kahjahkins,#PodRevDay #podcasts #creators #recomendations,1292296958472839168,https://twitter.com/PersuadePod/status/1292296958472839168
2020-08-09 03:01:29,PersuadePod,,0,1,4,"Second up on the plate for #PodRevDay is the @FireteamChat podcast. Keeps me sane with coming out every Friday and is a wonderfully produced show. The intro music alone is *chefs kiss* wonderful (@podchaser @IGN @vicious696 on the latest episode too)",,@FireteamChat @Podchaser @IGN @vicious696,#PodRevDay,1292294903301537792,https://twitter.com/PersuadePod/status/1292294903301537792
2020-08-09 02:52:08,PersuadePod,,1,5,7,"Boom, the first to crank out goes out to @Planthropology_ which was fairly easy to write up and nothing NEWLY Dr. Baliga doesnâ€™t already know (@Podchaser #PodRevDay #reviews #educational #podcastshow #podcasters #podcaster #podcast #recommendations)",,@Planthropology_ @Podchaser,#PodRevDay #reviews #educational #podcastshow #podcasters #podcaster #podcast #recommendations,1292292551282745345,https://twitter.com/PersuadePod/status/1292292551282745345
2020-08-09 02:47:16,PersuadePod,,3,2,11,"Little late to the #PodRevDay but lets get some reviews cranked out for @podchaser and all the podcasters i'm about to tag in future posts",,@Podchaser,#PodRevDay,1292291327351296000,https://twitter.com/PersuadePod/status/1292291327351296000
2020-08-09 02:33:27,beholdertonoone,,4,11,23,"I have reviewed them all already but for #PodRevDay I would highly recommend the following #dnd or #ttrpg #actualplays @ChosenOnesDnD @BirdhouseMyst @RerollCast @4NaaD_Podcast @Wesuckpod @TalesofAsperran @CheckNature @damn_dice @delagardin @firstwatchshow @thelasttapestry",,@ChosenOnesDnD @BirdhouseMyst @RerollCast @4NaaD_Podcast @Wesuckpod @TalesofAsperran @CheckNature @damn_dice @delagardin @firstwatchshow @thelasttapestry,#PodRevDay #dnd #ttrpg #actualplays,1292287850210373639,https://twitter.com/beholdertonoone/status/1292287850210373639
2020-08-09 02:14:19,SchwarzJames,,1,5,9,"Speaking of podcasts I listen to that you also should.... @MicsAndMonsters Is everything I always wanted in a clthulhu mythos podcast....meaning DnD rules that I already know and a custom fantasy setting. It's dope. Happy #podrevday ",,@MicsAndMonsters,#podrevday,1292283032515145728,https://twitter.com/SchwarzJames/status/1292283032515145728
